,Name,Link,Livability,Amenities,Cost of Living,Crime,Employment,Housing,Schools,Weather,Population,Median home value,Cost_of_Living_Info,Crime_Info,Employment_Info,Housing_Info,Schools_Info
292,Champaign,https://www.areavibes.com/champaign-il/livability/,60,A+,C+,F,D+,F,F,D," 84,672"," $152,000",Cost of living is 6% lower than Illinois,Total crime is 52% higher than Illinois,Household income is 24% lower than Illinois,Home value is 13% lower than Illinois,HS graduation rate is 10% higher than Illinois
293,Stanford,https://www.areavibes.com/stanford-ca/livability/,79,A+,F,A+,C,D-,A+,B+," 14,926"," $1,505,800",Cost of living is 96% higher than California,Total crime is 62% lower than California,Household income is 18% lower than California,Home value is 268% higher than California,HS graduation rate is 24% higher than California
294,Stony Brook,https://www.areavibes.com/stony+brook-ny/livability/,74,A+,F,A+,A-,F,A+,D+," 13,437"," $443,500",Cost of living is 30% higher than New York,Total crime is 55% lower than New York,Household income is 102% higher than New York,Home value is 55% higher than New York,HS graduation rate is 17% higher than New York
295,Helena,https://www.areavibes.com/helena-mt/livability/,64,A+,C+,F,C,D-,D,F," 30,102"," $209,500",Cost of living is 2% higher than Montana,Total crime is 66% higher than Montana,Household income is 8% higher than Montana,Home value is 5% higher than Montana,HS graduation rate is 3% higher than Montana
296,Long Beach,https://www.areavibes.com/long+beach-ca/livability/,63,A+,F,F,D,C,F,A+," 469,793"," $448,800",Cost of living is 1% higher than California,Total crime is 13% higher than California,Household income is 14% lower than California,Home value is 10% higher than California,HS graduation rate is 3% lower than California
297,Thousand Oaks,https://www.areavibes.com/thousand+oaks-ca/livability/,77,A+,F,A+,B-,D-,B,A," 128,623"," $637,100",Cost of living is 22% higher than California,Total crime is 51% lower than California,Household income is 58% higher than California,Home value is 56% higher than California,HS graduation rate is 15% higher than California
298,Springfield,https://www.areavibes.com/springfield-oh/livability/,64,A+,A-,F,F,F,B,D," 59,761"," $77,000",Cost of living is 6% lower than Ohio,Total crime is 175% higher than Ohio,Household income is 37% lower than Ohio,Home value is 42% lower than Ohio,HS graduation rate is 11% lower than Ohio
299,Canton,https://www.areavibes.com/canton-ny/livability/,66,A-,D+,C-,D,F,A-,F," 6,624"," $163,700",Cost of living is 13% lower than New York,Total crime is 17% higher than New York,Household income is 17% lower than New York,Home value is 43% lower than New York,HS graduation rate is 5% higher than New York
300,Berea,https://www.areavibes.com/berea-ky/livability/,72,B,B,B,D-,C,D,C-," 14,667"," $131,600",Cost of living is equal to Kentucky,Total crime is 15% higher than Kentucky,Household income is 10% lower than Kentucky,Home value is 4% higher than Kentucky,HS graduation rate is 3% higher than Kentucky
301,Dearborn,https://www.areavibes.com/dearborn-mi/livability/,71,A+,B-,B-,D,D,D-,D," 95,520"," $112,200",Cost of living is 3% higher than Michigan,Total crime is 20% higher than Michigan,Household income is 5% lower than Michigan,Home value is 12% lower than Michigan,HS graduation rate is 9% lower than Michigan
302,Tacoma,https://www.areavibes.com/tacoma-wa/livability/,64,A+,F,F,D+,B-,D-,C-," 205,602"," $212,400",Cost of living is 3% lower than Washington,Total crime is 84% higher than Washington,Household income is 15% lower than Washington,Home value is 21% lower than Washington,HS graduation rate is 4% lower than Washington
303,Orlando,https://www.areavibes.com/orlando-fl/livability/,72,A+,C,F,D-,C+,C,A," 263,306"," $172,100",Cost of living is 1% lower than Florida,Total crime is 112% higher than Florida,Household income is 10% lower than Florida,Home value is 3% higher than Florida,HS graduation rate is 4% higher than Florida
304,Richmond,https://www.areavibes.com/richmond-va/livability/,76,A+,C-,C-,D-,D+,B+,C+," 216,773"," $199,300",Cost of living is 7% lower than Virginia,Total crime is 60% higher than Virginia,Household income is 38% lower than Virginia,Home value is 20% lower than Virginia,HS graduation rate is 7% lower than Virginia
305,Coral Gables,https://www.areavibes.com/coral+gables-fl/livability/,81,A+,F,B,A-,C-,A+,A," 50,533"," $696,000",Cost of living is 66% higher than Florida,Total crime is 5% lower than Florida,Household income is 87% higher than Florida,Home value is 317% higher than Florida,HS graduation rate is 14% higher than Florida
306,Spartanburg,https://www.areavibes.com/spartanburg-sc/livability/,66,A+,B,F,F,D+,F,B-," 37,570"," $115,900",Cost of living is 6% lower than South Carolina,Total crime is 26% higher than South Carolina,Household income is 24% lower than South Carolina,Home value is 19% lower than South Carolina,HS graduation rate is 3% lower than South Carolina
307,Charlottesville,https://www.areavibes.com/charlottesville-va/livability/,73,A+,F,C-,C,F,A+,C," 45,538"," $280,100",Cost of living is 8% higher than Virginia,Total crime is 29% higher than Virginia,Household income is 23% lower than Virginia,Home value is 13% higher than Virginia,HS graduation rate is 2% higher than Virginia
308,Jackson,https://www.areavibes.com/jackson-tn/livability/,59,A,C+,F,D-,F,D-,C+," 67,162"," $128,700",Cost of living is 1% higher than Tennessee,Total crime is 48% higher than Tennessee,Household income is 15% lower than Tennessee,Home value is 12% lower than Tennessee,HS graduation rate is 5% higher than Tennessee
309,Austin,https://www.areavibes.com/austin-tx/livability/,83,A+,D,D-,C+,B+,A+,B+," 907,779"," $257,800",Cost of living is 18% higher than Texas,Total crime is 20% higher than Texas,Household income is 11% higher than Texas,Home value is 81% higher than Texas,HS graduation rate is 10% higher than Texas
310,Bozeman,https://www.areavibes.com/bozeman-mt/livability/,76,A+,D,C+,D+,C+,A,F," 41,761"," $278,700",Cost of living is 11% higher than Montana,Total crime is 8% lower than Montana,Household income is equal to Montana,Home value is 40% higher than Montana,HS graduation rate is 10% higher than Montana
311,Tuscaloosa,https://www.areavibes.com/tuscaloosa-al/livability/,65,A+,B-,F,D,F,F,B-," 96,352"," $170,800",Cost of living is 3% higher than Alabama,Total crime is 32% higher than Alabama,Household income is 9% lower than Alabama,Home value is 33% higher than Alabama,HS graduation rate is 8% higher than Alabama
312,Columbus,https://www.areavibes.com/columbus-oh/livability/,76,A+,B,F,D,A,C,D+," 837,038"," $131,800",Cost of living is 2% lower than Ohio,Total crime is 64% higher than Ohio,Household income is 7% lower than Ohio,Home value is equal to Ohio,HS graduation rate is equal to Ohio
313,St. Joseph,https://www.areavibes.com/st.+joseph-mn/livability/,75,B+,C,A+,D+,D,A,F," 6,775"," $158,100",Cost of living is 5% lower than Minnesota,Total crime is 61% lower than Minnesota,Household income is 20% lower than Minnesota,Home value is 17% lower than Minnesota,HS graduation rate is 5% higher than Minnesota
314,Santa Clara,https://www.areavibes.com/santa+clara-ca/livability/,77,A+,F,B-,B+,B,C,B+," 122,725"," $734,500",Cost of living is 36% higher than California,Total crime is 2% higher than California,Household income is 61% higher than California,Home value is 79% higher than California,HS graduation rate is 13% higher than California
315,Davis,https://www.areavibes.com/davis-ca/livability/,74,A+,F,B+,C+,F,A,B+," 66,886"," $565,700",Cost of living is 11% higher than California,Total crime is 15% lower than California,Household income is 10% lower than California,Home value is 38% higher than California,HS graduation rate is 19% higher than California
316,Medford,https://www.areavibes.com/medford-ma/livability/,74,A+,F,A+,B-,C,C+,D+," 57,180"," $421,200",Cost of living is 14% higher than Massachusetts,Total crime is 27% lower than Massachusetts,Household income is 12% higher than Massachusetts,Home value is 24% higher than Massachusetts,HS graduation rate is 4% higher than Massachusetts
317,Redmond,https://www.areavibes.com/redmond-wa/livability/,79,A+,F,C+,A-,B,A+,C," 59,268"," $525,000",Cost of living is 45% higher than Washington,Total crime is 2% lower than Washington,Household income is 71% higher than Washington,Home value is 95% higher than Washington,HS graduation rate is 10% higher than Washington
318,Provo,https://www.areavibes.com/provo-ut/livability/,77,A+,C-,A,D,B-,C-,D," 115,718"," $214,800",Cost of living is 2% lower than Utah,Total crime is 38% lower than Utah,Household income is 32% lower than Utah,Home value is 4% lower than Utah,HS graduation rate is 2% higher than Utah
319,Jackson,https://www.areavibes.com/jackson-ms/livability/,62,A+,A-,F,F,F,F,B," 172,039"," $89,500",Cost of living is 1% higher than Mississippi,Total crime is 70% higher than Mississippi,Household income is 19% lower than Mississippi,Home value is 15% lower than Mississippi,HS graduation rate is 4% higher than Mississippi
320,Wheaton,https://www.areavibes.com/wheaton-il/livability/,75,A+,F,A+,B,F,B+,D-," 53,568"," $342,000",Cost of living is 21% higher than Illinois,Total crime is 59% lower than Illinois,Household income is 54% higher than Illinois,Home value is 96% higher than Illinois,HS graduation rate is 12% higher than Illinois
321,Raleigh,https://www.areavibes.com/raleigh-nc/livability/,78,A+,D,C,C,B-,C+,B-," 441,326"," $218,200",Cost of living is 11% higher than North Carolina,Total crime is 9% lower than North Carolina,Household income is 22% higher than North Carolina,Home value is 39% higher than North Carolina,HS graduation rate is 8% higher than North Carolina
322,Oakland,https://www.areavibes.com/oakland-ca/livability/,55,A+,F,F,D+,C-,F,B+," 412,040"," $500,500",Cost of living is 11% higher than California,Total crime is 147% higher than California,Household income is 9% lower than California,Home value is 22% higher than California,HS graduation rate is 1% lower than California
323,Alfred,https://www.areavibes.com/alfred-ny/livability/,66,C+,B-,C+,F,F,A+,F," 4,325"," $116,700",Cost of living is 22% lower than New York,Total crime is 4% higher than New York,Household income is 48% lower than New York,Home value is 59% lower than New York,HS graduation rate is 21% higher than New York
324,Lawrence,https://www.areavibes.com/lawrence-ks/livability/,69,A+,C,D,C-,F,C-,D+," 92,611"," $177,600",Cost of living is 10% higher than Kansas,Total crime is 1% lower than Kansas,Household income is 11% lower than Kansas,Home value is 31% higher than Kansas,HS graduation rate is 7% higher than Kansas
325,Lewisburg,https://www.areavibes.com/lewisburg-pa/livability/,81,A+,C,B,D+,B+,A+,D+," 5,757"," $161,600",Cost of living is 3% lower than Pennsylvania,Total crime is 4% lower than Pennsylvania,Household income is 21% lower than Pennsylvania,Home value is 4% lower than Pennsylvania,HS graduation rate is 6% lower than Pennsylvania
326,Rapid City,https://www.areavibes.com/rapid+city-sd/livability/,63,A+,B,F,D+,F,D-,F," 72,441"," $166,000",Cost of living is 3% higher than South Dakota,Total crime is 94% higher than South Dakota,Household income is 9% lower than South Dakota,Home value is 13% higher than South Dakota,HS graduation rate is equal to South Dakota
327,Easton,https://www.areavibes.com/easton-pa/livability/,77,A+,C+,B,D-,C+,C+,D+," 27,014"," $127,300",Cost of living is 5% lower than Pennsylvania,Total crime is 3% higher than Pennsylvania,Household income is 17% lower than Pennsylvania,Home value is 24% lower than Pennsylvania,HS graduation rate is 10% lower than Pennsylvania
328,Clemson,https://www.areavibes.com/clemson-sc/livability/,82,A+,C,A,D+,D,A-,C+," 15,008"," $197,500",Cost of living is 2% higher than South Carolina,Total crime is 47% lower than South Carolina,Household income is 20% lower than South Carolina,Home value is 38% higher than South Carolina,HS graduation rate is 16% higher than South Carolina
329,Murray,https://www.areavibes.com/murray-ky/livability/,71,A+,B-,B-,F,F,B-,C," 18,726"," $143,700",Cost of living is 3% higher than Kentucky,Total crime is 35% higher than Kentucky,Household income is 45% lower than Kentucky,Home value is 14% higher than Kentucky,HS graduation rate is 5% higher than Kentucky
330,Kansas City,https://www.areavibes.com/kansas+city-mo/livability/,64,A+,B,F,D+,F,D-,C-," 471,767"," $135,900",Cost of living is 1% lower than Missouri,Total crime is 86% higher than Missouri,Household income is 4% lower than Missouri,Home value is 4% lower than Missouri,HS graduation rate is 2% higher than Missouri
331,Greensboro,https://www.areavibes.com/greensboro-nc/livability/,67,A+,B-,F,D,D-,D-,C+," 282,177"," $148,500",Cost of living is 4% lower than North Carolina,Total crime is 47% higher than North Carolina,Household income is 11% lower than North Carolina,Home value is 5% lower than North Carolina,HS graduation rate is 6% higher than North Carolina
332,Berea,https://www.areavibes.com/berea-oh/livability/,85,A+,C+,A+,C-,D+,A+,D," 18,949"," $129,000",Cost of living is 6% higher than Ohio,Total crime is 71% lower than Ohio,Household income is 14% higher than Ohio,Home value is 2% lower than Ohio,HS graduation rate is 4% higher than Ohio
333,Nampa,https://www.areavibes.com/nampa-id/livability/,71,A-,B+,C+,D-,B+,F,D+," 87,896"," $120,900",Cost of living is 7% lower than Idaho,Total crime is 57% higher than Idaho,Household income is 16% lower than Idaho,Home value is 28% lower than Idaho,HS graduation rate is 9% lower than Idaho
334,Rolla,https://www.areavibes.com/rolla-mo/livability/,69,A+,B+,F,D-,D-,C,C-," 19,904"," $129,300",Cost of living is 2% lower than Missouri,Total crime is 26% higher than Missouri,Household income is 31% lower than Missouri,Home value is 8% lower than Missouri,HS graduation rate is 1% lower than Missouri
335,Lubbock,https://www.areavibes.com/lubbock-tx/livability/,78,A+,B+,F,D+,B-,A-,B-," 244,507"," $118,300",Cost of living is 3% lower than Texas,Total crime is 55% higher than Texas,Household income is 17% lower than Texas,Home value is 17% lower than Texas,HS graduation rate is 4% higher than Texas
336,Geneseo,https://www.areavibes.com/geneseo-ny/livability/,65,A+,C+,D,D-,F,C+,D," 8,124"," $157,800",Cost of living is 19% lower than New York,Total crime is 34% higher than New York,Household income is 41% lower than New York,Home value is 45% lower than New York,HS graduation rate is 1% higher than New York
337,Deland,https://www.areavibes.com/deland-fl/livability/,74,A+,B-,F,D-,C-,C-,A," 29,442"," $156,300",,,,,
338,Des Moines,https://www.areavibes.com/des+moines-ia/livability/,75,A+,B+,F,D,A-,B,D," 212,859"," $119,800",Cost of living is 3% lower than Iowa,Total crime is 110% higher than Iowa,Household income is 12% lower than Iowa,Home value is 10% lower than Iowa,HS graduation rate is 7% lower than Iowa
339,Reno,https://www.areavibes.com/reno-nv/livability/,68,A+,D-,F,D,B-,D+,C," 237,121"," $235,800",Cost of living is 6% higher than Nevada,Total crime is 19% higher than Nevada,Household income is 8% lower than Nevada,Home value is 23% higher than Nevada,HS graduation rate is 1% higher than Nevada
340,Olathe,https://www.areavibes.com/olathe-ks/livability/,82,A+,C,A-,B-,B,C+,C-," 132,787"," $201,200",Cost of living is 10% higher than Kansas,Total crime is 50% lower than Kansas,Household income is 49% higher than Kansas,Home value is 49% higher than Kansas,HS graduation rate is 6% higher than Kansas
341,Granville,https://www.areavibes.com/granville-oh/livability/,80,C+,F,A+,B,D+,A+,D," 5,725"," $323,400",Cost of living is 23% higher than Ohio,Total crime is 75% lower than Ohio,Household income is 82% higher than Ohio,Home value is 145% higher than Ohio,HS graduation rate is 15% higher than Ohio
342,Eau Claire,https://www.areavibes.com/eau+claire-wi/livability/,74,A+,C+,C+,D+,C,C+,F," 67,654"," $141,300",Cost of living is 2% lower than Wisconsin,Total crime is 48% higher than Wisconsin,Household income is 17% lower than Wisconsin,Home value is 15% lower than Wisconsin,HS graduation rate is 4% higher than Wisconsin
343,Seattle,https://www.areavibes.com/seattle-wa/livability/,67,A+,F,F,B,B-,B,C," 668,849"," $484,600",Cost of living is 38% higher than Washington,Total crime is 69% higher than Washington,Household income is 18% higher than Washington,Home value is 80% higher than Washington,HS graduation rate is 6% higher than Washington
344,Tucson,https://www.areavibes.com/tucson-az/livability/,65,A+,B-,F,F,C-,F,B+," 527,586"," $132,200",Cost of living is 6% lower than Arizona,Total crime is 77% higher than Arizona,Household income is 26% lower than Arizona,Home value is 25% lower than Arizona,HS graduation rate is 3% lower than Arizona
